olive_detail_id,olive_detail,qoo_big,qoo_mid,qoo_small,qoo_small_code,similarity
1000001000100130001,스킨/토너,스킨케어,기초화장품,토너,320001619,0.57
1000001000100140001,에센스/세럼/앰플,스킨케어,기초화장품,에센스,320001623,0.5
1000001000100150001,크림,스킨케어,기초화장품,로션・크림,320001621,0.57
1000001000100150002,아이크림,스킨케어,기초화장품,아이크림・젤,320001622,0.8
1000001000100160001,로션,스킨케어,기초화장품,로션・크림,320001621,0.57
1000001000100160002,올인원,스킨케어,기초화장품,올인원,320001625,1
1000001000100100001,미스트/픽서,스킨케어,미스트,보습 미스트,320001634,0.5
1000001000100100002,페이스오일,스킨케어,기초화장품,페이스 오일,320001624,0.91
1000001000100170001,스킨케어세트,목욕・미용・케어용품,스킨케어용품,스킨케어 스프레이,320002605,0.53
1000001000100180001,스킨케어 디바이스,목욕・미용・케어용품,스킨케어용품,스킨케어 스프레이,320002605,0.67
1000001000900010001,시트팩,스킨케어,세안・클렌징,클렌징 시트,320001651,0.44
1000001000900040001,패드,스킨케어,기초화장품,토너 패드,320001620,0.57
1000001000900020001,워시오프팩,스킨케어,팩,씻어내는 팩,320001627,0.29
1000001000900020004,모델링팩,스킨케어,팩,씻어내는 팩,320001627,0.5
1000001000900020005,필오프팩,스킨케어,팩,마스크 팩,320001628,0.33
1000001000900020002,슬리핑팩,스킨케어,팩,마스크 팩,320001628,0.29
1000001000900050001,코팩,스킨케어,팩,코 팩,320001631,0.8
1000001000900060001,패치,스킨케어,팩,아이패치 ,320001630,0.57
1000001001000010001,클렌징폼/젤,스킨케어,세안・클렌징,클렌징 폼,320001639,0.73
1000001001000010003,팩클렌저,스킨케어,세안・클렌징,클렌징 폼,320001639,0.44
1000001001000010002,클렌징 비누,스킨케어,세안・클렌징,클렌징 폼,320001639,0.73
1000001001000040001,클렌징오일,스킨케어,세안・클렌징,클렌징 오일,320001643,0.91
1000001001000040002,클렌징밤,스킨케어,세안・클렌징,클렌징 밤,320001649,0.89
1000001001000050003,클렌징워터,스킨케어,세안・클렌징,클렌징 워터,320001646,0.91
1000001001000050001,클렌징밀크/크림,스킨케어,세안・클렌징,클렌징 밀크,320001644,0.71
1000001001000070002,페이셜스크럽,스킨케어,기초화장품,페이스 오일,320001624,0.5
1000001001000070001,피지클리너,목욕・미용・케어용품,귀케어용품,귀 세정제・클리너,320002609,0.43
1000001001000070003,파우더워시,스킨케어,세안・클렌징,세안 파우더,320001641,0.55
1000001001000080001,클렌징티슈/패드,스킨케어,세안・클렌징,클렌징 폼,320001639,0.46
1000001001000060001,립&아이리무버,네일,매니큐어・젤・아트,네일 리무버,320001817,0.46
1000001001000090001,클렌징 디바이스,스킨케어,세안・클렌징,클렌징 에센스,320001647,0.67
1000001001100060001,선크림,UV케어,자외선 차단제,선크림・로션,320001741,0.5
1000001001100030001,선스틱,UV케어,자외선 차단제,선스틱,320001742,0.67
1000001001100040001,선쿠션,UV케어,자외선 차단제,선쿠션,320001743,0.44
1000001001100040002,선파우더,UV케어,자외선 차단제,선 스프레이,320001746,0.6
1000001001100050002,선스프레이,UV케어,자외선 차단제,애프터 선케어,320001748,0.67
1000001001100050001,선패치,UV케어,자외선 차단제,선 스프레이,320001746,0.5
1000001001100020001,태닝,UV케어,태닝,태닝 로션,320001749,0
1000001001100020002,애프터선,UV케어,자외선 차단제,애프터 선케어,320001748,0.33
1000001000200060003,립틴트,포인트 메이크업,립 메이크업,틴트,320001714,0.8
1000001000200060004,립스틱,포인트 메이크업,립 메이크업,립스틱,320001710,1
1000001000200060006,립라이너,포인트 메이크업,립 메이크업,립 라이너,320001713,0.89
1000001000200060001,립케어,포인트 메이크업,립 메이크업,립밤,320001716,0.57
1000001000200060007,컬러립밤,포인트 메이크업,립 메이크업,립밤,320001716,0.67
1000001000200060002,립글로스,포인트 메이크업,립 메이크업,립 글로스,320001715,0.89
1000001000200010009,쿠션,포인트 메이크업,블러셔,쿠션 블러셔,320001720,0.5
1000001000200010002,파운데이션,베이스 메이크업,파운데이션,크림 파운데이션,320001662,0.77
1000001000200010006,블러셔,포인트 메이크업,블러셔,크림 블러셔,320001718,0.67
1000001000200010004,파우더/팩트,베이스 메이크업,하이라이터,파우더 하이라이트,320001667,0.53
1000001000200010005,컨실러,베이스 메이크업,컨실러,스틱 컨실러,320001655,0.67
1000001000200010003,프라이머/베이스,포인트 메이크업,아이섀도우,아이섀도우 베이스,320001694,0.47
1000001000200010007,쉐이딩,베이스 메이크업,쉐이딩,쉐이딩 크림,320001671,0.67
